Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,FWL,141198,2025
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,MC,16662,739
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,1sMC,6288,350
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,2sMC,6771,361
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,3sMC,7851,360
Round03-hive23-2024_07_16-h23b11.JPG,190993.0,339,2MdC,21101,697
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,FWL,207924,2426
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,MC,28990,1007
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,1sMC,10026,445
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,2sMC,11800,474
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,3sMC,13808,477
Round03-hive24-2024_07_04-h24b02.JPG,272240.0,355,2MdC,33923,923
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,FWL,186776,2215
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,MC,20195,855
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,1sMC,7266,380
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,2sMC,8020,389
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,3sMC,9761,404
Round03-hive24-2024_07_04-h24b07.JPG,216365.0,388,2MdC,26443,781
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,FWL,216405,2264
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,MC,24752,877
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,1sMC,9097,420
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,2sMC,8862,408
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,3sMC,11348,437
Round03-hive24-2024_07_04-h24b14.JPG,276531.0,418,2MdC,30429,837
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,FWL,193981,2550
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,MC,27567,967
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,1sMC,9315,433
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,2sMC,11041,457
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,3sMC,13277,472
Round03-hive24-2024_07_10-h24b02.JPG,237921.0,346,2MdC,33878,901
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,FWL,187298,2097
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,MC,22226,812
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,1sMC,7661,378
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,2sMC,7956,388
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,3sMC,10032,412
Round03-hive24-2024_07_10-h24b16.JPG,258833.0,389,2MdC,26233,779
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,FWL,205958,2453
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,MC,28602,976
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,1sMC,9290,447
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,2sMC,11251,465
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,3sMC,13645,479
Round03-hive24-2024_07_18-h24b02.JPG,248384.0,355,2MdC,34636,915
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,FWL,117818,1736
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,MC,14661,670
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,1sMC,4735,317
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,2sMC,5069,315
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,3sMC,6182,322
Round01-Hive01-2024_06_05-h01bee16.JPG,129975.5,314,2MdC,15975,636
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,FWL,167860,2410
Round01-Hive01-2024_06_05-h01bee21.JPG,176031.5,406,MC,20253,894
