Filename,VisibleWingAreaInPixels,WingHeightInPixels,Cell,CellAreaInPixels,CellPerimeterInPixels,median_marker_length_in_pixels
Round01-Hive01-2024_06_11-h01b18.JPG,337914.5,448,2sMC,7095.0,362.0,610
Round01-Hive01-2024_06_11-h01b18.JPG,337914.5,448,3sMC,7598.0,354.0,610
Round01-Hive01-2024_06_11-h01b18.JPG,337914.5,448,2MdC,20537.0,689.0,610
Round01-Hive01-2024_06_11-h01b18.JPG,337914.5,448,FWL,150817.0,1931.0,610
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,MC,17188.0,702.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,1sMC,6443.0,364.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,2sMC,6817.0,359.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,3sMC,6807.0,339.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,2MdC,20325.0,681.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b19.JPG,259357.0,445,FWL,144775.0,1857.0,"702,7634888"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,MC,17603.0,715.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,1sMC,6612.0,366.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,2sMC,6656.0,357.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,3sMC,7672.0,360.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,2MdC,20857.0,692.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b23.JPG,334673.0,459,FWL,156773.0,1948.0,"707,9909973"
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,MC,16827.0,705.0,663
Round01-Hive01-2024_06_11-h01b24.JPG,266647.0,446,1sMC,6241.0,362.0,663
